,ID,PredictedProb
0,0,0.57
1,1,0.78
2,2,0.63
3,7,0.54
4,10,0.77
5,11,0.71
6,13,0.94
7,14,0.5
8,15,0.93
9,16,0.82
10,17,0.8
11,18,0.76
12,19,0.93
13,20,0.7
14,25,0.96
15,26,0.66
16,29,0.84
17,38,0.97
18,41,0.91
19,44,0.7
20,45,0.59
21,47,0.73
22,48,0.56
23,49,0.84
24,50,0.81
25,53,0.47
26,56,0.65
27,59,0.78
28,60,0.68
29,64,0.87
30,65,0.86
31,66,0.51
32,68,0.93
33,69,0.61
34,70,0.87
35,71,0.63
36,72,0.71
37,76,0.7
38,80,0.84
39,82,0.53
40,83,0.89
41,85,0.89
42,86,0.69
43,87,0.81
44,89,0.8
45,97,0.75
46,99,0.67
47,101,0.846
48,102,0.13
49,103,0.61
50,104,0.51
51,106,0.85
52,107,0.63
53,109,0.9
54,111,0.52
55,113,0.83
56,114,0.69
57,118,0.84
58,119,0.68
59,120,0.88
60,123,0.74
61,128,0.63
62,129,0.83
63,131,0.72
64,133,0.58
65,134,0.69
66,136,0.95
67,137,0.7
68,139,0.88
69,140,0.7485476190476191
70,142,0.92
71,144,0.8
72,146,0.8785476190476191
73,147,0.88
74,148,0.92
75,150,0.41
76,151,0.45
77,152,0.91
78,155,0.95
79,158,0.92
80,159,0.67
81,160,0.9388834951456311
82,161,0.77
83,165,0.95
84,166,0.59
85,170,0.87
86,171,0.75
87,174,0.72
88,175,0.65
89,179,0.74
90,180,0.97
91,181,0.88
92,184,0.82
93,185,0.68
94,187,0.74
95,188,0.9
96,190,0.71
97,191,0.76
98,192,0.57
99,193,0.86
100,196,0.79
101,197,0.31
102,198,0.7
103,205,0.45
104,211,0.65
105,213,0.66
106,214,0.84
107,217,0.67
108,218,0.87
109,221,0.87
110,222,0.63
111,225,0.75
112,229,0.61
113,236,0.56
114,237,0.88
115,238,0.77
116,239,0.86
117,242,0.82
118,245,0.93
119,246,0.8
120,247,0.9
121,248,0.84
122,254,0.76
123,255,0.5
124,257,0.93
125,259,0.55
126,264,0.87
127,270,0.74
128,272,0.88
129,274,0.56
130,275,0.59
131,278,0.79
132,280,0.58
133,281,0.68
134,282,0.54
135,283,0.81
136,284,0.92
137,286,0.64
138,287,0.9
139,288,0.94
140,289,0.93
141,290,0.67
142,291,0.69
143,294,0.51
144,295,0.4
145,297,0.51
146,299,0.75
147,305,0.82
148,307,0.46
149,308,0.87
150,313,0.76
151,314,0.69
152,315,0.87
153,316,0.81
154,317,0.86
155,319,0.66
156,322,0.8
157,323,0.83
158,324,0.73
159,326,0.97
160,327,0.78
161,329,0.91
162,330,0.38
163,331,0.7
164,336,0.5
165,337,0.62
166,338,0.86
167,340,0.93
168,345,0.46
169,347,0.81
170,348,0.81
171,350,0.89
172,352,0.87
173,356,0.9
174,357,0.89
175,358,0.88
176,359,0.91
177,361,0.74
178,363,0.52
179,364,0.65
180,368,0.76
181,376,0.96
182,378,0.81
183,382,0.82
184,384,0.65
185,385,0.94
